ID;Name;Number;Set;Series;Rarity;HP;Type;Artist;Release Date;Average Price;Count;Finish Type;Reverse Holo;Language
SUM_int_152;Espeon-GX;152/172;Sun & Moon;Sun & Moon;Rainbow Rare;200;Pokémon;5ban Graphics;2017-02-03T00:00:00Z;53,91;1;HOLOFOIL;No;EN
EVS_int_64;Espeon V;64/237;Evolving Skies;Sword & Shield;Double Rare;200;Pokémon;5ban Graphics;2021-08-27T00:00:00Z;3,13;1;HOLOFOIL;No;EN
PRE_int_33;Espeon;33/180;Prismatic Evolutions;Scarlet & Violet;Rare;110;Pokémon;Kariya;2025-01-17T00:00:00Z;0,43;1;HOLOFOIL;No;EN
PRE_int_144;Leafeon ex;144/180;Prismatic Evolutions;Scarlet & Violet;Special Illustration Rare;270;Pokémon;Jiro Sasumo;2025-01-17T00:00:00Z;383,42;1;HOLOFOIL;No;EN
CRZ_int_13;Leafeon V;13/230;Crown Zenith;Sword & Shield;Double Rare;210;Pokémon;PLANETA Mochizuki;2023-01-20T00:00:00Z;2,11;1;HOLOFOIL;No;EN
UPR_int_13;Leafeon-GX;13/173;Ultra Prism;Sun & Moon;Double Rare;200;Pokémon;5ban Graphics;2018-02-02T00:00:00Z;7,71;1;HOLOFOIL;No;EN
PLF_int_11;Leafeon;11/122;Plasma Freeze;Black & White;Rare;100;Pokémon;5ban Graphics;2013-05-08T00:00:00Z;43,11;1;REVERSE_HOLOFOIL;Yes;EN
MD_int_7;Leafeon;7/100;Majestic Dawn;Diamond & Pearl / Platinum;Holo Rare;90;Pokémon;Kouki Saitou;2008-05-21T00:00:00Z;90,77;1;HOLOFOIL;No;EN
ASR_int_13;Leafeon;13/246;Astral Radiance;Sword & Shield;Rare;110;Pokémon;Atsushi Furusawa;2022-05-27T00:00:00Z;0,29;1;NORMAL;No;EN
TWM_int_11;Leafeon;11/226;Twilight Masquerade;Scarlet & Violet;Uncommon;120;Pokémon;Kuroimori;2024-05-24T00:00:00Z;0,20;1;NORMAL;No;EN
